Day fraction since midnight on 	pH probe (pH)	Source pressure (Pa)
0.6146912607	7.9886231422	0.0000000000
0.6147028400	8.0276679993	0.0000000000
0.6147144170	8.0626564026	0.0000000000
0.6147259845	7.8261017799	0.0000000000
0.6147375635	7.7861948013	0.0000000000
0.6147491510	8.0024766922	0.0000000000
0.6147607071	8.0450534821	0.0000000000
0.6147722896	7.9643578529	0.0000000000
0.6147838598	7.8473868370	0.0000000000
0.6147954382	7.9380235672	0.0000000000
0.6148070027	7.9298586845	0.0000000000
0.6148185822	7.9650187492	0.0000000000
0.6148301546	7.9602842331	0.0000000000
0.6148417355	7.9608235359	0.0000000000
0.6148532983	7.9529709816	0.0000000000
0.6148648798	8.0956907272	0.0000000000
0.6148764576	8.0661249161	0.0000000000
0.6148880418	7.9657864571	0.0000000000
0.6148995986	7.9647922516	0.0000000000
0.6149111793	7.9952273369	0.0000000000
0.6149227432	8.0742235184	0.0000000000
0.6149343258	8.0608940125	0.0000000000
0.6149458975	8.0689735413	0.0000000000
0.6149574764	8.0290966034	0.0000000000
0.6149690433	8.0670280457	0.0000000000
0.6149806161	8.0586137772	0.0000000000
0.6149921922	8.0384340286	0.0000000000
0.6150037671	8.0792655945	0.0000000000
0.6150153391	8.0187473297	0.0000000000
0.6150269202	8.0586385727	0.0000000000
0.6150385064	8.0835685730	0.0000000000
0.6150500637	8.0708646774	0.0000000000
0.6150616361	8.0420541763	0.0000000000
0.6150732070	8.0222654343	0.0000000000
0.6150847884	8.0365591049	0.0000000000
0.6150963536	8.0556135178	0.0000000000
0.6151079501	7.9804625511	0.0000000000
0.6151195114	8.0298719406	0.0000000000
0.6151310976	8.0120458603	0.0000000000
0.6151426502	8.0949087143	0.0000000000
0.6151542288	8.0078678131	0.0000000000
0.6151657989	8.0576238632	0.0000000000
0.6151773752	8.0472202301	0.0000000000
0.6151889471	8.0110397339	0.0000000000
0.6152005317	8.0285606384	0.0000000000
0.6152121029	8.0381412506	0.0000000000
0.6152236746	8.0320777893	0.0000000000
0.6152352511	8.0345830917	0.0000000000
0.6152468183	8.0645532608	0.0000000000
0.6152584024	8.0292034149	0.0000000000
0.6152699835	8.0446290970	0.0000000000
0.6152815470	8.0284175873	0.0000000000
0.6152931237	7.9990305901	0.0000000000
0.6153046983	8.0121536255	0.0000000000
0.6153162675	8.0548658371	0.0000000000
0.6153278448	8.0419692993	0.0000000000
0.6153394219	8.0065288544	0.0000000000
0.6153510050	8.0291528702	0.0000000000
0.6153625600	8.0026426315	0.0000000000
0.6153741386	8.0483074188	0.0000000000
0.6153857137	8.0363092422	0.0000000000
0.6153972885	7.9939064980	0.0000000000
0.6154088642	7.9880685806	0.0000000000
0.6154204324	8.0426321030	0.0000000000
0.6154320095	8.0217046738	0.0000000000
0.6154435854	8.0467720032	0.0000000000
0.6154551529	8.0101556778	0.0000000000
0.6154667266	8.0497388840	0.0000000000
0.6154783110	7.9904246330	0.0000000000
0.6154898749	8.0304155350	0.0000000000
0.6155014511	8.0165090561	0.0000000000
0.6155130299	8.0427007675	0.0000000000
0.6155245968	8.0121183395	0.0000000000
0.6155361750	8.0209188461	0.0000000000
0.6155477437	8.0020942688	0.0000000000
0.6155593376	7.9638404846	0.0000000000
0.6155708915	7.9602837563	0.0000000000
0.6155824761	8.0723209381	0.0000000000
0.6155940464	8.0174036026	0.0000000000
0.6156056197	8.0518608093	0.0000000000
0.6156171905	8.0247230530	0.0000000000
0.6156287692	8.0127067566	0.0000000000
0.6156403359	8.0509939194	0.0000000000
0.6156519151	8.0172767639	0.0000000000
0.6156634842	8.0377702713	0.0000000000
0.6156750683	7.9972271919	0.0000000000
0.6156866425	8.0221509933	0.0000000000
0.6156982203	7.9670028687	0.0000000000
0.6157097876	7.9777684212	0.0000000000
0.6157213642	7.9951920509	0.0000000000
0.6157329488	8.0494670868	0.0000000000
0.6157445130	8.0277643204	0.0000000000
0.6157560775	8.0076284409	0.0000000000
0.6157676547	7.9563422203	0.0000000000
0.6157792252	8.0099611282	0.0000000000
0.6157907982	7.9844331741	0.0000000000
0.6158023834	7.9862651825	0.0000000000
0.6158139592	7.9984493256	0.0000000000
0.6158255315	8.0015459061	0.0000000000
0.6158371038	7.9593472481	0.0000000000
0.6158486781	7.9895858765	0.0000000000
0.6158602461	8.0284357071	0.0000000000
0.6158718264	7.9730415344	0.0000000000
0.6158833961	8.0163526535	0.0000000000
0.6158949699	8.0169448853	0.0000000000
0.6159065450	7.9924063683	0.0000000000
0.6159181178	8.0117645264	0.0000000000
0.6159296947	7.9761848450	0.0000000000
0.6159412618	7.9701132774	0.0000000000
0.6159528411	7.9605550766	0.0000000000
0.6159644149	7.9693174362	0.0000000000
0.6159759934	8.0378265381	0.0000000000
0.6159875614	7.9832544327	0.0000000000
0.6159991358	7.9683218002	0.0000000000
0.6160107124	8.0395050049	0.0000000000
0.6160222855	8.0153007507	0.0000000000
0.6160338633	7.9848008156	0.0000000000
0.6160454372	7.9836988449	0.0000000000
0.6160570040	7.9680800438	0.0000000000
0.6160685870	7.9731421471	0.0000000000
0.6160801607	7.9818167686	0.0000000000
0.6160917250	7.9929895401	0.0000000000
0.6161033054	7.9351854324	0.0000000000
0.6161148729	8.0039157867	0.0000000000
0.6161264507	7.9783201218	0.0000000000
0.6161380300	7.9477539063	0.0000000000
0.6161495997	7.9512319565	0.0000000000
0.6161611726	7.9629602432	0.0000000000
0.6161727482	7.8700723648	0.0000000000
0.6161843265	7.9401836395	0.0000000000
0.6161958963	7.9524345398	0.0000000000
0.6162074697	7.9572606087	0.0000000000
0.6162190500	7.9854617119	0.0000000000
0.6162306173	7.8980016708	0.0000000000
0.6162421901	7.9805793762	0.0000000000
0.6162537715	7.9680004120	0.0000000000
0.6162653359	7.9520454407	0.0000000000
0.6162769191	7.9883403778	0.0000000000
0.6162884942	7.9451832771	0.0000000000
0.6163000591	7.9846453667	0.0000000000
0.6163116364	7.9527893066	0.0000000000
0.6163232183	7.9238119125	0.0000000000
0.6163347908	7.9584984779	0.0000000000
0.6163463582	7.9658527374	0.0000000000
0.6163579399	7.9172596931	0.0000000000
0.6163695061	7.9031281471	0.0000000000
0.6163810761	7.9483861923	0.0000000000
0.6163926500	7.8917961121	0.0000000000
0.6164042292	7.9209022522	0.0000000000
0.6164157990	7.9475021362	0.0000000000
0.6164273736	7.9093861580	0.0000000000
0.6164389659	7.9432730675	0.0000000000
0.6164505304	7.9388923645	0.0000000000
0.6164621000	7.9098639488	0.0000000000
0.6164736898	7.9886217117	0.0000000000
0.6164852447	7.9689111710	0.0000000000
0.6164968260	7.8874440193	0.0000000000
0.6165083911	7.9367356300	0.0000000000
0.6165199705	7.9459867477	0.0000000000
0.6165315479	7.8855514526	0.0000000000
0.6165431244	7.9382023811	0.0000000000
0.6165546928	7.9039239883	0.0000000000
0.6165662682	7.9207949638	0.0000000000
0.6165778468	7.9553780556	0.0000000000
0.6165894109	7.8918666840	0.0000000000
0.6166009931	7.9363279343	0.0000000000
0.6166125576	7.8988323212	0.0000000000
0.6166241316	7.9024920464	0.0000000000
0.6166357165	7.9349169731	0.0000000000
0.6166472913	7.9015483856	0.0000000000
0.6166588656	7.9007983208	0.0000000000
0.6166704301	7.9000873566	0.0000000000
0.6166820038	7.8467526436	0.0000000000
0.6166935768	7.8968877792	0.0000000000
0.6167051553	7.8719110489	0.0000000000
0.6167167317	7.9128317833	0.0000000000
0.6167283101	7.8909788132	0.0000000000
0.6167398783	7.8816146851	0.0000000000
0.6167514526	7.8967280388	0.0000000000
0.6167630283	7.8813738823	0.0000000000
0.6167746001	7.9100408554	0.0000000000
0.6167861766	7.8938889503	0.0000000000
0.6167977443	7.8641295433	0.0000000000
0.6168093216	7.8875589371	0.0000000000
0.6168208979	7.8656978607	0.0000000000
0.6168324761	7.8901576996	0.0000000000
0.6168440396	7.8289833069	0.0000000000
0.6168556205	7.9167752266	0.0000000000
0.6168671936	7.9108891487	0.0000000000
0.6168787733	7.8741607666	0.0000000000
0.6168903434	7.8234853745	0.0000000000
0.6169019134	7.7976741791	0.0000000000
0.6169134926	7.8683547974	0.0000000000
0.6169250637	7.8344464302	0.0000000000
0.6169366402	7.8231697083	0.0000000000
0.6169482160	7.8320612907	0.0000000000
0.6169597854	7.8365674019	0.0000000000
0.6169713664	7.8586025238	0.0000000000
0.6169829328	7.8898510933	0.0000000000
0.6169945143	7.8890686035	0.0000000000
0.6170060777	7.8329963684	0.0000000000
0.6170176554	7.8063693047	0.0000000000
0.6170292295	7.8385953903	0.0000000000
0.6170408043	7.8414163589	0.0000000000
0.6170523837	7.8818378448	0.0000000000
0.6170639486	7.8108096123	0.0000000000
0.6170755388	7.8820343018	0.0000000000
0.6170870974	7.8641109467	0.0000000000
0.6170986777	7.8668942451	0.0000000000
0.6171102444	7.8496675491	0.0000000000
0.6171218204	7.8691792488	0.0000000000
0.6171334001	7.8753027916	0.0000000000
0.6171449695	7.8624849319	0.0000000000
0.6171565389	7.8094835281	0.0000000000
0.6171681208	7.8515577316	0.0000000000
0.6171796878	7.8751430511	0.0000000000
0.6171912656	7.7928719521	0.0000000000
0.6172028371	7.8345522881	0.0000000000
0.6172144115	7.8356318474	0.0000000000
0.6172259892	7.7976212502	0.0000000000
0.6172375666	7.8593239784	0.0000000000
0.6172491380	7.8037557602	0.0000000000
0.6172607098	7.8159537315	0.0000000000
0.6172722967	7.8201527596	0.0000000000
0.6172838583	7.8255004883	0.0000000000
0.6172954403	7.8522896767	0.0000000000
0.6173070133	7.7657637596	0.0000000000
0.6173185760	7.8330845833	0.0000000000
0.6173301508	7.8503971100	0.0000000000
0.6173417294	7.8276691437	0.0000000000
0.6173533067	7.7578425407	0.0000000000
0.6173648726	7.8403153419	0.0000000000
0.6173764585	7.8001117706	0.0000000000
0.6173880267	7.8338451385	0.0000000000
0.6173996056	7.8148322105	0.0000000000
0.6174111715	7.8399620056	0.0000000000
0.6174227540	7.7740182877	0.0000000000
0.6174343238	7.8376107216	0.0000000000
0.6174459015	7.8165459633	0.0000000000
0.6174574724	7.8283290863	0.0000000000
0.6174690396	7.8465561867	0.0000000000
0.6174806242	7.7872123718	0.0000000000
0.6174921961	7.7979340553	0.0000000000
0.6175037631	7.8323421478	0.0000000000
0.6175153422	7.8129577637	0.0000000000
0.6175269135	7.8370981216	0.0000000000
0.6175384870	7.7978858948	0.0000000000
0.6175500664	7.8422379494	0.0000000000
0.6175616328	7.8270740509	0.0000000000
0.6175732107	7.8197422028	0.0000000000
0.6175847872	7.7877302170	0.0000000000
0.6175963577	7.8120822906	0.0000000000
0.6176079377	7.7981328964	0.0000000000
0.6176195118	7.8212399483	0.0000000000
0.6176310830	7.7677440643	0.0000000000
0.6176426507	7.7552804947	0.0000000000
0.6176542284	7.8026738167	0.0000000000
0.6176658045	7.7952289581	0.0000000000
0.6176773837	7.8077621460	0.0000000000
