Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)
0.6611241066	-0.4047415555	3.3664996624
0.6611819748	-0.4080387354	3.3681786060
0.6612398523	-0.4143179357	3.3713777065
0.6612977070	-0.4173418283	3.3729190826
0.6613555888	-0.4213590622	3.3749675751
0.6614134664	-0.4252549112	3.3769550323
0.6614713464	-0.4268672466	3.3777778149
0.6615292032	-0.4308985174	3.3798356056
0.6615870807	-0.4332956076	3.3810596466
0.6616449375	-0.4394092262	3.3841829300
0.6617028152	-0.4415834844	3.3852941990
0.6617606697	-0.4347949922	3.3818254471
0.6618185727	-0.4474021196	3.3882694244
0.6618764295	-0.4504267871	3.3898167610
0.6619342863	-0.4545730352	3.3919386864
0.6619921659	-0.4588361084	3.3941214085
0.6620500205	-0.4608642757	3.3951601982
End of CMFR 1
0.6621079209	-0.4632605314	3.3963878155
0.6621657755	-0.4579771459	3.3936815262
0.6622236531	-0.4684032500	3.3990235329
0.6622815076	-0.4711950421	3.4004549980
0.6623393872	-0.4753100872	3.4025657177
0.6623972669	-0.4775032699	3.4036910534
0.6624551239	-0.4811301529	3.4055526257
0.6625130015	-0.4834682047	3.4067530632
